61653	1679.14	2
26223	1953.21	1
55214	1421.17	2
15212	1118.26	4
25866	414.50	4
35242	1954.84	1
25798	394.77	2
75315	1196.74	2
35817	1099.16	4
49564	1568.23	2
14692	1940.58	3
73793	1842.45	2
39928	35.89	3
80255	538.51	4
41844	1273.96	3
28759	311.49	2
67672	995.47	3
53028	723.79	1
34312	103.40	2
53527	58.05	2
61041	192.32	4
18153	695.50	3
27613	1182.35	4
33492	894.80	1
62593	121.60	1
40786	1556.34	4
57989	450.25	4
58103	580.92	4
83015	1922.68	1
51296	14.19	3
20267	1404.04	4
77799	370.55	4
45211	462.82	2
13751	341.10	3
56884	1227.31	3
27282	1720.68	2
30952	1735.18	3
72103	1544.75	1
53701	1292.46	4
82584	1522.38	2
26342	370.60	3
28836	1408.19	4
24370	300.02	1
56104	1943.03	1
58979	805.40	1
74418	1380.25	4
56676	1677.45	1
61745	203.05	1
29717	613.14	1
10604	1922.77	3
44005	1192.67	4
74825	394.64	4
49044	504.12	2
18371	112.12	1
73540	1824.97	2
15812	1203.79	4
75026	569.46	2
46029	65.46	4
10730	1786.00	2
19734	1909.32	3
44496	350.30	2
67770	1673.84	2
63683	1406.65	4
54720	128.68	2
87360	788.47	3
24564	978.03	2
27845	1877.54	2
76502	355.54	3
16531	1405.02	4
42104	50.73	2
62849	1379.42	1
16483	631.06	4
44458	824.11	2
42623	594.02	3
31749	941.59	2
17475	1645.05	3
20498	1079.66	2
82251	174.67	3
31071	668.00	1
28009	606.91	2
26559	1813.03	4
64679	161.43	1
85749	1970.44	3
28144	984.00	4
69890	598.83	2
75727	316.60	3
29526	545.15	2
83635	1616.83	1
34939	1315.32	2
16355	1730.94	3
74652	1165.95	2
40292	197.21	2
18530	351.24	1
82186	1486.49	1
87122	1155.76	3
75529	24.05	4
30729	243.67	3
65993	1485.20	1
